;label;text
44;1;Not to flex or anything, but I’m pretty, smart, tall, and charming you could say. But still single hahahah :) Please, I’m bored. Not really suffering, but like… just bored, you know
46;1;Other universities have such cozy libraries. Doesn’t Sunib have any plans to renovate?
47;0;Back when I joined GO, there was this super fierce senior guy. He came to our class with a loud voice saying: 'Don’t act cocky just because you can log into Bimay and use Flazz. You’re not students yet, just candidates. Don’t get arrogant.'
48;1;It’s already this late in the month and my final report still hasn’t been approved by my FS
49;1;I miss the Binus Syahdan campus, miss chilling in room R
50;0;Can Suncur points be withdrawn into Binus Flazz balance?
53;0;Who’s coming to campus (onsite) tomorrow?
54;2;BE CAREFUL guys, there's this guy with the initials HI from SOCS who's DISTURBING — he asks for answers and shares them after just changing the names. He invites girls out or to voice calls even though they don’t know him. He pretends it's just a group hangout, but ends up asking for a picture together — and then makes that photo his profile picture. BE CAREFUL if this guy ever chats your female friends!
55;1;Let only Indihome have a bad signal, not our communication..
56;2;I’ve done a few interviews already, but every time one’s coming up, my stomach hurts and I get so scared
57;0;Just want to clarify that FWB (friends with benefits) isn’t always about sex. Giving affection and attention without romantic feelings also counts. It’s fun having an FWB you can hang out with, talk to, cuddle, pat each other’s head, game together, go crazy together — basically everything — but without jealousy if they do it with someone else. Remember, FWB means both sides benefit. If only one does, then you’re just a clown
58;2;Been waiting for the holidays forever, now it’s finally here and I’m SOOOOOO BORED!
59;0;bale bale bale bale
60;1;How do I know if I need to resubscribe to Beelingua? If the Lifepoints are fine, that means it’s okay, right?
61;0;Sunib should partner with Alsut mall for parking. That mall’s empty anyway. Maybe allow Flazz Binus to be used there with the same rates as campus. I don’t mind walking a bit further.
62;0;Something that’s sudden but not round tofu — what is it?
63;1;Who here feels like they’re already a bestie but still not in the Close Friends list
64;2;No matter how high your degree or how many certificates you have, they're useless if you can't help others. Be grateful if you can get an S1 degree. At the very least, IF YOUR GPA IS BAD, DAMN IT, AFTER GRADUATING, HELP PEOPLE. YOUR HELP WILL BE MORE USEFUL TO SOCIETY. — My high school teacher
65;0;Guys, how’s everyone’s thesis proposal going?
66;2;Just found out not all internships listed on Binus' website are paid :)) there’s even this student organization from Binus offering unpaid internships :D I mean, if I were only looking for experience I’d be fine with it, but I’ve got a lot of living expenses, dear God
67;0;Guys, why is there no apply button on the enrichment app?
68;1;During exams at Binus, I always repeat this to myself: 'It’s just a week, you got this, take it slow'
69;1;Do you guys feel uncomfortable when strangers chat you, especially if they insist you reply? Like, what the heck, you’re nobody to me but you keep bothering and forcing me to respond. So annoying.
70;1;Has anyone ever gotten a helix piercing here? Does it hurt a lot? And is it hard to sleep afterward?
71;1;My boyfriend’s ex called his mom yesterday lol. She said she suddenly felt like calling. Is it valid for me to overthink? I’m not mad at anyone, just honestly sad haha.
72;1;Yesterday, the schedule showed only Monday–Thursday. Today, it’s Monday–Saturday
73;0;Does anyone know if we can use the KIP scholarship at Binus? And if yes, where do we take care of it?
75;0;So many notifications from Bruno_Mars omg
76;1;It’s so annoying chatting with someone who just reads your message. I wrote a whole paragraph and even asked a question, but still got no reply.. lol
77;1;Stop sexual harassment. Sexual harassment can happen to anyone, regardless of their ethnicity, nationality, religion, social group, or race
78;1;Tomorrow, something will be empty. Not the heart, but the answer sheet.
79;0;Wanna ask — if I fail a subject and take it again in the short semester, will the grade from that short semester be included in the cumulative GPA? And is there a max grade limit like the minimum competency score (KKM)? Or is it unlimited so the grade can be good?
80;0;If you can’t attend the midterm exam (UTS) onsite due to certain reasons, what should you do?
81;1;The Entrepreneurship (Entre) course at Binus is so ridiculous. Entrepreneurship isn’t just theory — it needs practical experience too. They don’t give us a chance to practice directly, like selling stuff. Unlike the other university.
82;0;Hey I heard that next semester it won’t be mandatory to come on-site? Is that true?
83;0;Anyone know scholarships available for semesters 2–8?
84;0;Nshajsjsjzhzhzhzhz
85;1;I just want the holidays to come already, I’m so tired
86;2;"
sIeeping doesn’t help this type of tired anymore
"
87;0;If I got a D on the midterm, can I still make up for it with the final exam and assignments?
88;0;Thesis supervisor: the state of the art section must be done in one week. Me: Yes ma'am, understood
89;2;I swear something weird and ridiculous happened in my neighborhood. A little kid threw trash into my house and it hit my dad's head... Actually, he’s been throwing trash like that often, but my family kept quiet about it... And since it happened to hit my dad, he told the kid, 'Don’t throw trash into our house, kid.' That’s it, nothing more. That night, the kid’s dad brought the whole neighborhood leaders and even a religious teacher and turned it into a religious issue… Then my dad got confronted and accused of ruining the neighborhood because he’s non-Muslim or something — crazy, right? lol. My dad clarified that he just told the kid and showed the CCTV. In the end, they all apologized, but my dad refused to shake hands because he was already hurt. Now I’m afraid to even go outside because the neighbors seem more hostile... all just because of a naughty kid, everything turned chaotic.
90;2;ASSIGNMENT BATTLE, FROM THE START OF THE SEMESTER UNTIL NOW I’VE DONE 18 ASSIGNMENTS FOR JUST ONE COURSE
91;0;I often bring candy I bought from Glodok and my friend seems to really like it, it’s fruit-flavored with a minty twist. If I sold the candy at Sunib, would it sell? Like doing a pre-order or something.
92;0;Guys I wanna ask, if I got a C in a first semester course but passed, and I retake it and get a better grade, can it raise my first semester GPA?
93;0;I miss hearing all the sounds in the classroom before exams back then..
94;2;Hello guys… I want to share a little. So my parents have a friend who asked me to paint something. They asked via my parents. I saw the example they wanted, drew it, and it was done. Then they asked for a revision — which is normal for art. But after fixing it, my parents didn’t like it and told me to redo it on a new canvas, and even said things like ‘I’d rather pay someone else to paint this.’ I explained that I gave it as a gift to their friend, so I wasn’t asking for payment. In the end, they hired someone else to paint it at a price I thought was too high, then blamed me for not wanting to paint it for free. Now I honestly feel kinda down... I don’t think I want to draw for others anymore.
95;0;Seniors or anyone else, is PT Kawan Lama a good place for an internship? Thanks
96;0;If your friend wants to quit college but it's already halfway, has breakouts, uncontrolled weight, messed up sleep schedule, and keeps saying they want to work soon — maybe they’re in semester 5
97;1;For B25 CS and up who want to intern in semester 5, make sure to practice coding-related hard skills. Internship positions are mostly for FE, BE, app dev, etc. — UI/UX is super rare. Better start now with Laravel/React/etc., and build small projects for your portfolio, so you don’t regret and struggle like I did
98;0;"
...............
"
99;1;Must be nice to be rich 😔 my friend wanted to go to a JB concert but didn’t want to fight for tickets in Indonesia so they bought tickets for the Melbourne show
100;1;"
when you fall in love with someone you haven't met before, you're actually only falling in love with your own expectations.
"
101;0;Anyone interested in M7 Tactical Pluit vouchers? 50k vouchers selling for only 55k, I have 4 of them
102;0;Comment your favorite user on suncur
103;0;To those saying they want to commit suicide because they didn’t get an internship, please read this: https://www.linkedin.com/posts/alxngu_alexcancode-softwareengineer-coding-activity-7016065230078189568-V8sW/ It's totally fine to fail. The world doesn’t always go the way we want. Failing in college doesn’t mean much in life. What matters is not success or failure, but our mindset in facing failure
104;0;Hi friends who still lack community service hours, I’m offering group community service proxy services. You can contact me via Discord: litzzyy#2143
105;0;Do you guys know anyone who can get premium accounts cheaper than usual? Please, I really need it
106;0;23 days before New Year. Have you felt happy this year?
107;0;@eheh during your thesis defense yesterday, was it online or offline? Please share some tips to not be nervous during the defense
108;0;"
But if we never try, how will we know....
"
109;0;What’s with those 'student voice' forms, so cringe. If you don’t like how Sunib handles things, just take a leave of absence dude
110;1;Fem 19, shut up already, asking about socs every day, sounds like a skills issue kid, and don’t accuse people of cheating
111;0;Guys I wanna ask, in semester 5 can we still apply to be a lab assistant?
112;0;Do lab assistants prefer to be called by their name or their code?
113;0;Go for it bro, they said they like it
114;2;Has anyone here ever been a lab assistant in the SOCS department? Please I really really need help!
115;2;Guys, has anyone here ever done internship enrichment while retaking a 4th semester course? The course I'm retaking is 2 credits. Will the class be online or onsite? Thanks to everyone who answered, I've been overthinking since yesterday
116;0;Bye midterms, welcome Friday class tomorrow
117;0;Which month does the GPA for the odd semester usually come out?
118;2;Seriously, don’t just disappear as a group member and use the excuse of other subjects having deadlines. Do you think I don’t have deadlines too? I know you're busy with chores and stuff, but at least work little by little on the group task.
119;0;Is it okay if we bring a friend from outside Binus to campus? Just want to do a little campus tour. What should I say to the security guard?
120;0;ChatGPT is awesome, wow
121;1;Why is it that every time someone gets close to me, in the end it's me who falls, not them
122;1;Got 25 on my algorithms midterm, is that a guaranteed retake? I'm scared :)
123;1;My lecturer once said, just enjoy college, studying is just studying, don’t overthink it as something hard. If you don’t understand, feel free to ask me. The important thing is you understand the knowledge in the book, the grades will follow naturally. I’m not strict in grading, as long as you understand the material, I’ll give you good grades. During the midterm, my project failed so badly I got stressed, but I got a score of 100 — this lecturer is the dream!
124;2;What's your late night crazy thought tonight? Mine: Can the world just end here please? There are just so many unbearable and shameless people. I'm gonna be so happy when the world burns. Come on climate change, change faster!
125;1;Loving someone feels like it makes you happy, but at the same time makes you sad because you're rejected.
126;1;What do people see in me. Really.
127;0;Does the internship start in the 5th semester, right?
128;2;I REALLY NEED TO LEARN NOT TO DO TASKS LAST MINUTE, NO LIES.
129;0;Can I handle doing my thesis alone?
130;0;Guys, if anyone wants to do a case study to add community service hours, put your contact in the comments, and I'll guide you on how.
131;2;Procrastinate -> Do it in a rush before the deadline -> Regret -> Repeat
132;2;If you think I'm exaggerating, that's fine, but I feel more tired than in offline classes. I can have 2-3 classes a day, not to mention some professors give tight deadlines, ugh
133;1;Any tips to get rid of a friend who doesn’t know their place? It’s 2 a.m. and they’re still not leaving, seriously.
134;0;Is there a restaurant or cafe around Binus Kemanggisan with free Wi-Fi? One that’s comfortable for Zoom calls?
136;1;This November, my insomnia is really bad. No Comly, no sleep.
137;1;Why do most people seem surprised when I say I’m a virgin? Is it really that rare? It actually makes me wonder, “Am I weird?” Do I have to pretend I’m not?
138;1;There was news about a police officer being killed after ordering an escort in Bali during the G20 security duty — do you feel sad or kind of glad?
139;1;Am I the only one who didn’t get the BP3 fee bill? Any idea why?
140;2;What’s wrong with my Beelingua, seriously?! It keeps saying “network error” even though everything else loads fine and isn’t lagging
141;0;If anyone has the seminar info, please share.
142;1;Does anyone know the answer to Beelingua B2.1 Unit 5 Activity 4?
143;1;I’m so tired of going to campus all the time, man.
144;2;Anyone in B23 can help with the English final exam? :’) I’m totally clueless about what to write.
145;1;For Sunib students, how many days off do we get after finals? My exams start on the 27th… anyone got the info?
146;2;It’s not even three weeks into the odd semester, and the info for auto***** for the even semester is already out
147;2;Your dad and mom are of different religions, your brother is also dating someone from a different religion, and when we were dating, it was the same. Then you said it was because “God is just testing us to see whether we choose people or Him.” Come on… God’s not that rigid, testing His children like that. Everything happens for a reason.
148;2;"Come on, spill your complaints about Binus, especially the financial stuff that smells like corruption ;D I’m going to speak up and bring this up :D I’ve got backup, don’t worry guys, I’m looking for supporters and data on the irony behind Binus’s financial flows."
149;1;Anyone here having issues with Bimay not working?
150;1;Any DKV students here taking UI/UX? I want to take it but I’m afraid I’ll be totally clueless :)
151;2;I finished and submitted it a few days ago, just checked again and realized there’s a huge mistake… I might as well cry.
152;2;Is there anyone else like me who feels lonely, has no friends, and has no idea how to find a community?
153;1;Have you ever been in that phase where you want to like someone, but just can’t?
154;1;Any Sunib kids from Tangerang or Jakarta who can skateboard? Me and my friend want to skate but we don’t know how :(( if interested, just drop your IG username in the comments :D
155;1;Guys, the dollar is considered a stable currency because it’s used for payments in many countries. So if all countries stop using the dollar as a payment method, wouldn’t that cause inflation due to excess printing? (And the US wouldn’t be able to just print money recklessly like they do now to pay off their debt.)
156;1;Do you guys ever feel so sad whenever you see someone so pretty, then you know no matter what you wouldn't end up together?
157;2;I just wanna ask, is being in a passive class a blessing or a curse? When the lecturer asks something, no one answers. I’m the type who really respects lecturers, so even if I have no idea, I still try to answer for the sake of appreciation. But what stresses me out is I feel bad, like I’m scared my friends think I’m showing off or trying to be a know-it-all. So… should I be grateful or just complain???
158;2;"You’re comfortable with someone else, happy with someone else, venting to someone else, but the ""situationship"" is with me — so what am I even here for, damn?"
159;2;I’m so burnt out — thinking about finals, still haven’t gotten an internship, been barely eating since the start of finals… ugh, I’m done
160;1;When will the final exam results come out?
161;0;Cheer up, stay strong — you got this!
162;1;The Zoom chat was disabled because B24 kept spamming for the SAT link even though the seminar wasn’t over yet… They said they joined for the sake of learning… what is this, my dear?
163;1;The older you get, the more you understand why some people choose to have only a few friends — or none at all — instead of having many.
164;2;Are there any videos in the Beelingua course that won’t play? What’s the fix? My internet is fine, so is it a problem with Beelingua? I can’t continue to the next course.
165;2;How many midterms do you guys have left? I’ve got just one more, but I’m sooo not in the mood asdjksf
166;1;Bismillah, submitting one midterm today
167;2;Someone said this earlier. Walked in and went, “Ugh, why does this place smell so bad? Not like campus A****.” Then their friends chimed in too: “Ugh, the table’s so dusty, it sticks to my hands. Why didn’t they clean it before we used it?” I mean, saying stuff like that is fine, but don’t say it right in front of the person managing the room — and so loudly too. I know you’re from that newer campus, but we literally just came in and haven’t even turned the AC on yet.
168;1;If we want to do an internship, we definitely need to make a CV, right? But if we’re not active in campus organizations, will that hurt our chances of getting accepted? Spill the tea please
169;0;looking for someone to hang out with on the 28th. If you’re free, DM me! Time for a lil’ healing
170;1;Guys, is there anywhere around the Kemanggisan campus that sells cilor? Been craving it since yesterday but no clue where to get it
171;0;It’s hilarious when you see that girl getting all excited and bragging that some guy is flirting with her — when it’s the same guy who used to be close to you. Like, girl… we know whether he’s serious or just playing around.
172;2;I was in social studies (IPS) back in high school. Near graduation, I applied to Sunib and took Information Systems – Management. Suddenly had a dream to become an app developer, but the moment I faced coding… I was DONE
173;1;Ever interned for a whole day and literally did nothing?
174;2;Finally moved on from the ex, only to catch feelings for someone of a different religion — DAMN ITTTT
175;1;I’ve fully accepted that maybe I won’t get an internship this 6th semester, and I might have to switch tracks to independent study or research. It’s okay though — I can still apply for internships after I graduate. LET’S GOOO KEEP THE SPIRIT UP!!!
176;0;Hey EPC, do you allow switching tracks?
177;1;Finally, it’s raining again after so long. Please let it last longer so I can be sad in peace + sleep comfortably.
178;2;Just wanna rant. It’s kinda my fault for filling out the PP form carelessly. I didn’t really understand it, so I didn’t join the paid promote. Then suddenly I got fined hundreds of thousands without any warning. Dang, that’s scary.
179;1;How do you even tell someone that you don’t like their attitude — like it totally gives you the ick?
180;1;I’ve got a crush on someone from the same FL committee but we’ve never talked and we’re from different majors. If only you knew...
181;2;Guys, does anyone still have 1 course missing in their schedule? What do you do about that?
182;2;Honestly, UTS could be done fast if you wanted. It’s just me overthinking everything like, “Is this answer even right?”
183;0;I don’t get how some people go to the gym but don’t look like it — especially those who are overweight or obese.
184;1;Come on Binus, if we’re fully onsite already, can we please be allowed to park inside Syahdan?
185;1;Help, my phone won’t charge.
186;2;Honestly, I can’t handle doing two previously combined courses at once anymore... Please don’t do this again, Sunib. This is a waterpark of chaos, man
187;1;During the enrichment period, there are no midterms or finals anymore, right?
188;2;Does anyone know which student clubs are still open for registration??
189;2;I DON’T UNDERSTAND ANYTHING IN THE AOL DATABASE AAAAAAAAAAAA
190;2;Someone please answer — if I didn’t get accepted into enrichment internship, do I have to reapply if I want to switch to independent study?
191;2;Has anyone ever joined a competition during class time? Do you think they’d give attendance leniency?
192;0;HIMME and HIMANDA, let’s collab for an event sometime!
193;2;Hey, just wondering — what do the scholarship mentors at Binus actually do? Is it worth it?
194;0;Anyone who plays Tetris Effect, let’s play together!
195;0;Isn’t it actually better to have exams onsite than online?
196;1;Sunib really loves doing things last minute. I’ve felt it since my very first semester.
197;2;Damn, you’re a master manipulator. Acting all innocent, when at home you’re a total jerk. Your parents support you, your friends are always there for you, you’re always defended, but you say you’re oppressed and admit to using your family? Then you tell your guy I’m the villain? WOW, applause. Just makes me more hyped to leave this country—I seriously hate it here.
198;2;Rising up from being bullied takes a lot of effort and painful experiences. Sometimes the scars never go away. But once you make it through, there’s a deep sense of pride—you become more confident. Let’s rise up, fellow bullying survivors!
199;0;Pergi yang Jauh Jangan Lupa Pulang is the best Indonesian movie I’ve seen this year.
200;2;PADORUU PADORUU!! (💬 Ini referensi meme/anime musiman, nggak berubah ya 😄)
201;0;Serious question: Is it okay if I don’t join any student organizations in college?
202;2;My crush often asks me about school stuff. Last time he asked, “Hey, have you finished UTS A yet?” I really want to talk about something more personal with him 😭 but there’s just no opening. Any advice?
203;2;Despite us ending as a wreck, I always wish that one day you’ll find the peace and love within yourself.
204;2;You know, I changed my Line profile picture and posted it as a story just to see if you’d notice—to know if you’ve deleted or blocked me. And turns out, you did see it. I was so happy omg haha.
205;2;Guys, I need your opinion. I usually chat with this guy for work stuff (but I kinda like him too). On the last day, I sent all the work stuff, and the next day he messaged me again, and has kept chatting since. Sometimes he even asks things he could easily find out on his own. Do you think he’s into me too? :”)
206;1;Have you guys never been taught to respect others’ opinions?
207;1;Are the old Bimob and Bimay really no longer accessible?
208;1;To everyone, don’t be provoked by the unwise actions of a few people here. We may have different races, religions, and cultures, but we are all Indonesian citizens. Let’s maintain unity, respect each other, and avoid prejudice.
209;0;Someone replied in the forum, “Thank you, sir, for the material.” Is it okay to just copy and paste that?
210;1;I don’t have a circle of friends in college. Is that normal? I’m just a quiet person.
211;2;It’s been over a year since we broke up, we’ve had no contact and removed each other from second accounts, but honestly, I still miss them :’) I know they weren’t good to me, but I’m just stupid like that.
212;1;If the DHD is marked red, the Zoom link still shows up, right?
213;2;I really hate people who don’t know the full truth but still act like judges 😠 Seriously messed up
214;0;For those who haven’t gotten an internship yet, let’s hope we all hear good news soon
215;1;I miss strolling around the mall on weekends. Zara, Stradivarius, Pull & Bear, H&M... 😭 I miss it so much.
216;1;So tired, I just wanna cry.
217;0;Is Cirebon considered Javanese or Sundanese?
218;0;I want to make myself shorter.
219;2;Multimedia Solution midterm lasts a week, but I only have 3 days to work on it because I don’t have a MacBook. OMAAGAAAA...
220;1;Why is the learning video all black when I play it? Only a few scenes show the lecturer teaching. I thought the video would be clear. I regret enrolling—please help us, God.
221;2;I’m already in my 3rd semester but still don’t have any close friends who really know me inside out… Anyone? I’m not the only one who feels this way, right?
222;2;Anyone got accepted at Telkom? I want to apply there but the job description seems half-hearted, it’s so brief 😭 hard to understand.
223;2;I’m no longer in love (or whatever you call it) with my boyfriend. It’s not because I’m bored or he did something wrong. I just have no feelings at all anymore. I don’t even want to be touched by him. I want to break up, but I don’t know how to say it. Any advice?
224;0;Is there a G20 Madara?
225;1;I don’t get it, why are there suddenly so many assignments right before the holidays
226;1;How can I tell if I really like him? Not just curious or admiring. We rarely meet because of different onsite schedules, and we only talk during group projects
227;1;If the rule is that we can apply for up to 5 internships per 7 days, does that mean it's normal to decline one if we get accepted into more than one? I know it's common, but I'm afraid it'll leave a bad impression… or is it actually fine? I want to apply to more than two places, but I'm also scared of turning one down (if that actually happens). But waiting for each one’s decision individually doesn’t make sense either. Please advise.
228;2;I need advice—what should I do? Lately, I’ve been really suspicious of my boyfriend. I feel like he’s hiding something, but I also hate how I’ve become so distrustful. It feels like I don’t trust him. Help me, guys—what should I do?
229;0;Has anyone here already lost their virginity? If so, why?
230;0;What STEM majors have the most girls in them, bro?
231;0;I took an internship out of boredom, got paid a tiny fee, and even got picked up and dropped off by car. I feel like Livy Renata
232;1;I feel bad for my friend, man. In their Business Statistics LAB class, they were told to make their own questions. LOL
233;0;When does the even (spring) semester start?
234;1;I used to be close to my dad as a kid, but now I only talk to him when I need something. It sucks.
235;2;I’m worried about you… please talk to me if something’s going on 🥺🥺 I feel really uneasy like this…
236;1;Please don’t let COVID end so soon—maybe extend it until my class graduates. I’ve gotten so comfy with online lectures while lying down. I really don’t want to go back to on-site classes.
237;2;Innalillahi wa inna ilaihi roji'un (Indeed, we belong to Allah and to Him we shall return). My condolences for the victims of today’s earthquake in Cianjur. May the deceased be accepted by Allah SWT. Aamiin ya rabbal alamin.
238;1;What motivates people to date someone from a different religion? Like, you already know it won’t work unless one’s willing to convert. Won’t moving on be even harder later?
239;0;Lick my period blood
240;1;Damn, is this auto-debit thing happening every month?
241;1;As Bang TULUS said, “Love comes in many forms.” Maybe mine is shaped like a missile—soaring into the sky, then crashing right into the heart, exploding and destroying all hopes of being with you.
242;1;Instead of stressing over people, let’s just watch something. Right, guys?
243;0;I’m so happy I got asked to eat together by my crush~
244;0;Any info on how to build a portfolio besides bootcamps?
245;1;Why are guys so moody like girls? Sensitive over every little thing. Ew gross.
246;1;Hey guys, I need someone to talk to :(
247;0;It felt kinda good being passed around by 5 guys, got picked up last night at the club
248;1;I have friends but I can’t help feel alone most of the time
249;1;"Tired, but let’s power through ;)"
250;0;Yay or nay unpaid internship?
251;2;Fellow Suncur folks, be brutally honest with me—is it just me being sensitive? My family’s financial situation is really bad… but my dad does have a bottle of expensive wine. Then my friend came over and casually said, “Well, at least your dad has fancy wine, even if he doesn’t invest in land or cars.” I didn’t know how to react. Was that a backhanded comment or am I just extra sensitive? I’ve really been struggling lately.
252;1;We’re supposed to submit our thesis softcover first, but the defense schedule still hasn’t been announced.
253;2;I really love my friend, but every time I’m with her, I end up hating myself more. She often judges people’s bodies and appearances. It’s sad because she’s an old friend and she’s nice to me, but I just can’t unhear the way she talks about others. It makes me more and more insecure and feel like I’m not enough.
254;0;To those quarantining and dieting—please share your diet tips!
255;0;What’s the difference between Asian and European students when it comes to campus activities?
256;0;Hey guys, where do you usually write your internship reports?
257;0;When does the even semester start?
258;1;For those in batch B25/B26, are lab classes allowed to be taken online? If yes, how?
259;0;If I don’t register for courses tomorrow, will there be another chance?
260;1;I still don’t get why there’s auto-debit charges for internships… even though there aren’t any more classes. What’s the logic behind that? Anyone please enlighten me
261;0;Pudingcokelat’s points are going up super fast.
262;1;Even trying to contest exam grades makes you feel like a beggar, damn.
263;1;Quick question—if there’s a bill and I want to request a late payment, who should I contact? TIA (Thanks in advance)
264;1;Guys, it’s already October 13th hehe
265;2;For those who hate on female students wearing makeup to campus—if I want to do full ULTRA COVERAGE makeup early in the morning, that’s my business. You didn’t pay for my powder, right? Whether it’s freshmen or seniors, it’s their right. Remember: everyone has their own preferences. So MIND YOUR OWN F*CKING BUSINESS. THANK YOU. Oh, and I checked out the IG of those who trash-talk makeup-wearing students—no eyebrows. No wonder you’re jealous HAHAHAHA.
266;2;I didn’t realize it’s almost December already!
267;0;Is the Circle K at BSQ open 24 hours?
268;1;When does Binus release the final exam schedule? I wanna make a work timeline ASAP because there are so many finals
269;0;I like you, but I don’t have the courage to say it.
270;2;I think 21 is where I stop... I'm exhausted. Or maybe I should just die, or become some sugar daddy’s side chick? I’m so tired of having to figure everything out myself at this age. My parents are trash—useless.
271;0;Anyone got a jacket that's too small? Mine’s too big—size L. Looking to trade it for a size M.
273;0;Hi everyone, please help us fill out this questionnaire for our project: https://forms.gle/m8JtUNkMES1nBGCo9. For those who aren’t doing internships right now. May God repay your kindness. Thank you
274;1;Why are my friends finishing their midterms so quickly?
275;0;Girls, do you also gossip about the cute guys in your class?
276;0;Guys, do we get to choose our site supervisor freely?
277;0;For real, only the admission staff with initial V at Binus Anggrek has managed to steal my heart out of all the girls at Binus hahaha.
278;0;"
———————————————
"
279;0;Good luck to everyone starting their internship tomorrow—wish me luck as well.
280;0;Testing, one two three.
281;0;Sigh, I wished for Hu Tao but ended up getting Keqing instead
282;1;Please refrain from commenting if you’re unsure about the validity of the information. Avoid spreading unverified claims, especially when people are relying on your updates.
283;1;What are the do's and don’ts of befriending an introverted person? I’d like to become friends with this introvert, but I’m unsure how to initiate a conversation.
